Disease,Description
alzheimer disease,"Alzheimer disease, a disease in which mental deterioration occurs, especially in old age. The disease is marked by forgetfulness, confusion, and other mental changes. Alzheimer disease is caused by a buildup of certain proteins in the brain. Treatment is available but cannot cure the disease."
chronic obstructive pulmonary disease (copd),"Chronic obstructive pulmonary disease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. The main symptoms of COPD are shortness of breath and cough with mucus production. COPD is usually caused by cigarette smoking, but can also"
liver disease,"Liver disease (also called hepatic disease) is a broad term for the disease that affects the liver. The liver is an essential organ in the body. The liver processes nutrients, filters the blood, and removes toxins. A healthy liver helps digest food, store energy, and remove bacteria"
drug reaction,"Drug reaction, also known as medication reaction or adverse drug reaction, is an allergic reaction to medication. Symptoms may include rash, hives, itching, swelling, and difficulty breathing. Causes may include an allergy to the medication or an interaction with another medication or food. Treat"
cold sore,"Cold sores, also known as fever blisters, are small blisters filled with fluid that usually appear on or around the lips and mouth. The blisters form because of a viral infection. Cold sores are caused by the herpes simplex virus (HSV), which is a common"
heart block,"Heart block, also known as cardiac block, is a condition in which the electrical impulses that control the heartbeat become delayed or blocked. This can result in a slow or irregular heartbeat, which can cause dizziness, fainting, or chest pain. Heart block can be caused by"
chronic sinusitis,"Chronic sinusitis is a long-term inflammation of the sinuses. The sinuses are small cavities in the bones surrounding the nose. Their function is to make mucus, which moistens and cleans the nose. Chronic sinusitis can make it difficult to breathe and can cause"
encephalitis,"Encephalitis is a general term for inflammation of the brain. It can be caused by a variety of factors, including viral infections, autoimmune diseases, and certain medications. Symptoms can vary widely depending on the cause of the encephalitis, but they typically include"
cerebral edema,"Cerebral edema is a condition in which there is an abnormal accumulation of fluid in the brain. This can cause increased pressure within the skull and can lead to serious complications, including brain damage and death."
gastroesophageal reflux disease (gerd),"Gastroesophageal reflux disease (GERD) is a condition where stomach acid or bile flows back into the esophagus, causing irritation and pain. Symptoms include heartburn, acid regurgitation, and difficulty swallowing. Causes include a weakened lower esoph"
trichiasis,"Trichiasis is a condition that causes the eyelashes to grow inward, irritating the eye. Symptoms may include redness, tearing, discharge, and pain. Trichiasis can be caused by injuries to the eye, eye surgery, or certain medical conditions. Treatment options"
headache after lumbar puncture,Headache after lumbar puncture is a common complication that can occur after a lumbar puncture procedure. A lumbar puncture is a diagnostic test that involves inserting a needle into the lower back to collect cerebrospinal fluid (CSF) for analysis. This procedure is often performed to diagnose
conversion disorder,"Conversion disorder, also known as functional neurological disorder, is a condition that causes physical symptoms affecting the brain and nervous system with no obvious physical cause. It is a form of psychogenic (mental) illness and can cause a wide range of symptoms, including weakness or paralysis in an arm or"
otitis media,"Otitis media is a type of infection in the middle ear that results in inflammation and swelling of the ear canal. It is a common condition that affects people of all ages, but is most common in children. Otitis media is usually caused by a virus or bacterium, and can be spread through"
primary kidney disease,"Primary kidney disease, also known as renal disease, is a condition that affects the kidneys' ability to filter waste from the blood. Symptoms may include fatigue, nausea, vomiting, and swelling in the legs and feet. The causes of primary kidney disease can vary, but"
paroxysmal supraventricular tachycardia,"Paroxysmal supraventricular tachycardia (PSVT) is a type of arrhythmia that causes the heart to beat rapidly and irregularly. It is a common condition that can affect people of all ages, but is more common in young adults. The heart rate during a PS"
myelodysplastic syndrome,"Myelodysplastic syndrome (MDS) is a cancer of the blood and bone marrow. It's a type of bone marrow failure where your bone marrow doesn't make enough healthy blood cells. This leads to a shortage of red blood cells, white blood cells and platelets."
